role_bucket,player_id,shortName,season17_score,season_minutes
defender,278289,Odriozola,19.69226758157975,3047
defender,14852,Sergio Escudero,18.705084544746025,2444
defender,70451,Luisinho,18.62695320812578,2735
defender,3310,Marcelo,18.525508648107003,2352
defender,4424,Jonny,18.44175020401997,3329
defender,3339,Montoya,18.119438853308935,2246
defender,4501,Daniel Carvajal,18.01019518145776,2327
defender,26307,A. Mandi,17.753418070430367,3178
defender,3347,Sergi Roberto,17.707316763240826,2322
defender,3827,Hugo Mallo,17.608620409737544,3120
defender,3269,Jordi Alba,17.499944107128005,2856
defender,230862,Lekue,17.376045955321743,2221
defender,3529,Mario,17.254106254871065,2930
defender,344068,Unai N\u00fa\u00f1ez,17.197326679419998,3076
defender,3667,De La Bella,17.095408725591568,1593
defender,263105,Pablo Maffeo,16.99345536435823,2746
defender,3534,Jaume Costa,16.975609942055506,2655
defender,3434,Filipe Luis,16.885114474948452,1724
defender,91702,J. Mojica,16.779320422893157,2231
defender,4892,Jos\u00e9 Gay\u00e1,16.77139827521941,3049
defender,3325,Juanfran,16.74103383774573,3191
defender,3671,\u00cd\u00f1igo Mart\u00ednez,16.67149991286542,2605
defender,3270,Barrag\u00e1n,16.480497628587354,2491
defender,279545,L. Hern\u00e1ndez,16.233161645939933,2255
defender,209012,K\u00e9vin Rodrigues,16.185300333884747,1710
defender,225022,Rub\u00e9n Duarte,16.030976796787638,2232
defender,254,R. Rosales,15.959448986334396,3261
defender,6281,Zald\u00faa,15.944690962691878,2655
defender,56009,R. Durmisi,15.901783445156044,2195
defender,225996,Diego Llorente,15.776142794212328,2428
defender,50102,F. Sch\u00e4r,15.774068313510218,2316
defender,4371,Dani Castellano,15.707297702551593,2120
defender,3341,Piqu\u00e9,15.638696042718538,2734
defender,20436,Jos\u00e9 \u00c1ngel,15.559794652841314,2532
defender,169002,Diego Rico,15.513884979003917,2310
defender,93003,D. Siovas,15.496670732947038,2132
defender,222770,N\u00e9lson Semedo,15.464980413089856,1554
defender,3974,D. Su\u00e1rez,15.388333638304362,3033
defender,4094,Ander Capa,15.311130518358333,2365
defender,3335,Bartra,15.239658920636831,1492
defender,3828,Ra\u00fal Navas,15.20795593168649,1862
defender,3421,De Marcos,15.169810409329067,1730
defender,282438,Aar\u00f3n,15.1638017166798,2945
defender,489488,Mart\u00edn,15.15798225359067,1902
defender,93000,Antunes,15.1440155291048,2950
defender,6210,Aday,15.115933260533797,1917
defender,4303,David L\u00f3pez,15.086330967747253,3476
defender,4238,M\u00edchel,15.073056898880322,2225
defender,3460,Coke,15.057478257424428,1445
defender,134502,A. Laporte,15.040680743029899,1792
defender,69409,\u0160. Vrsaljko,14.920513746887728,1718
defender,3916,G. Cabral,14.88131348675722,1980
defender,278288,Aritz Elustondo,14.82872090348648,1667
defender,4272,Ximo Navarro,14.791227576704584,2731
defender,250805,Djen\u00e9,14.775221585454013,3407
defender,86220,G. Mercado,14.69489408121613,2212
defender,3920,Pedro L\u00f3pez,14.63969378179235,1656
defender,213124,Chema,14.600240927111924,2104
defender,4805,Arbilla,14.577964791620659,2523
defender,3277,V\u00edctor Ru\u00edz,14.531505201450306,2519
defender,3338,Sergi G\u00f3mez,14.477217783199487,2784
defender,7302,Albentosa,14.44554361085697,1818
defender,3304,Nacho,14.425262331559985,2162
defender,3788,Jordi Amat,14.388700823421775,2139
defender,208694,Rodrigo Ely,14.38381249200681,2808
