role,player_id,player,n_obs,arima_order,arima_next_forecast
Midfielder,263614,N. Amiri,38,"(0, 1, 1)",20.314778291715434
Midfielder,263802,Y. Tielemans,48,"(1, 1, 0)",16.846952714672998
Midfielder,265172,A. Bar\u00e1k,37,"(0, 1, 1)",18.432860897846403
Midfielder,265366,W. Ndidi,45,"(0, 1, 1)",19.447874096923936
Midfielder,265673,Bernardo Silva,46,"(1, 1, 0)",19.536991101762204
Midfielder,265864,N. Maksimovi\u0107,39,"(0, 1, 1)",20.431100489136124
Midfielder,265865,S. Milinkovi\u0107-Savi\u0107,43,"(1, 0, 0)",19.718079381922255
Midfielder,269060,P. Hern\u00e1ndez,38,"(0, 1, 1)",18.582797708456365
Midfielder,269490,F. Kath,34,"(1, 1, 0)",18.49745778375255
Midfielder,272363,M. Dahoud,35,"(1, 1, 0)",19.188149191166993
Midfielder,272440,M. Eggestein,38,"(1, 1, 0)",18.372455211796776
Midfielder,273819,Xeka,29,"(0, 1, 1)",19.47693226918879
Midfielder,274344,B. Santamaria,40,"(0, 1, 1)",18.678112551855833
Midfielder,275243,S. Khaoui,37,"(1, 1, 0)",18.78758435201886
Midfielder,275293,Samu Garc\u00eda,30,"(0, 1, 1)",18.450544711046486
Midfielder,276920,V. Vada,38,"(0, 1, 1)",19.080147614362062
Midfielder,277629,P. Lees Melou,39,"(0, 1, 1)",18.91771550994416
Midfielder,278813,S. Bastien,34,"(0, 1, 1)",19.72116633490459
Midfielder,279538,Marcos Llorente,36,"(0, 1, 1)",19.036757955108854
Midfielder,279555,Iv\u00e1n Alejo,37,"(1, 1, 0)",21.13046370711205
Midfielder,279734,V. Koziello,39,"(0, 1, 1)",19.38519202340565
Midfielder,280115,M. Lopez,40,"(1, 1, 0)",20.299802641062907
Midfielder,280383,E. Bardhi,38,"(0, 1, 1)",19.123173889368026
Midfielder,282448,Aleix Garc\u00eda,31,"(0, 1, 1)",20.16122371463092
Midfielder,282804,K. Laimer,37,"(1, 1, 0)",19.09044523870848
Midfielder,283142,D. Gray,39,"(0, 1, 1)",17.917140515468223
Midfielder,284315,M. Rog,99,"(0, 1, 1)",18.466510189000065
Midfielder,284469,J. Brekalo,38,"(1, 0, 0)",20.544523221192083
Midfielder,285109,F. Kessi\u00e9,38,"(1, 1, 0)",20.36194073023304
Midfielder,285457,H. Ma\u00efga,18,"(1, 1, 0)",20.26789222829704
Midfielder,286223,N. Barella,39,"(0, 1, 1)",19.147172840954063
Midfielder,286226,M. Locatelli,38,"(1, 1, 0)",17.58539357570931
Midfielder,286448,M. Arambarri,29,"(0, 1, 1)",15.663819897444188
Midfielder,288091,Marco Asensio,45,"(0, 1, 1)",21.253148854278262
Midfielder,289359,Y. A\u00eft Bennasser,38,"(0, 1, 1)",17.767367508547085
