player_id,shortName,role_clean,xgb_forecast_next5,avg_actual_score,forecast_delta
224593,J. Kimmich,Defender,16.652403,15.531670279149589,1.1207325986580283
4936,David Sim\u00f3n,Defender,16.552853,15.05408316935547,1.498769461259764
3281,Juan Bernat,Defender,16.464027,15.42772658434095,1.0363008204442057
402898,S. Miangue,Defender,16.281372,14.9816683262639,1.2997037440485997
3325,Juanfran,Defender,16.244131,14.895931527514538,1.348199560742298
70451,Luisinho,Defender,16.230465,14.795607181781028,1.4348577535217064
93000,Antunes,Defender,16.16594,14.254410346689323,1.911528984365365
6210,Aday,Defender,16.130678,15.55890274583376,0.571775431046122
350976,B. Chilwell,Defender,16.075708,15.256951936688457,0.8187564525937692
24838,G. Letizia,Defender,15.985918,15.404586125274324,0.581331919769621
20855,E. Schelotto,Defender,15.923747,14.765215677533819,1.1585313851492867
32959,P. Pekar\u00edk,Defender,15.870865,14.472238539841536,1.3986263283225266
8240,S. Coleman,Defender,15.815878,14.823440236865542,0.9924376775631689
36,T. Alderweireld,Defender,15.809958,14.127917228705698,1.6820412292410793
215281,A. Mbengue,Defender,15.79803,14.967974085704737,0.8300558138924305
21385,L. Insigne,Forward,25.87495,24.630933667253384,1.244016741682163
5400,Gerard Moreno,Forward,25.829494,21.19908500374282,4.63040947257554
3361,A. S\u00e1nchez,Forward,24.91661,22.49183837353173,2.424772344241706
8326,M. Balotelli,Forward,24.910585,21.211818894828454,3.6987665086139287
11063,Suso,Forward,24.448692,22.156009675803386,2.292682645973958
7944,W. Rooney,Forward,24.37758,22.140895335335355,2.2366853073648407
3475,D. Perotti,Forward,24.325607,22.061353510020922,2.2642537897837656
15107,Raffael,Forward,24.275864,22.124445790220985,2.1514178572399523
254189,Ivi,Forward,24.190784,20.589355761453692,3.6014286928920107
40810,Neymar,Forward,24.149124,24.090390965905453,0.0587331796023598
276211,A. Saint-Maximin,Forward,24.143854,21.671432106330816,2.472422034904536
86307,L. Vietto,Forward,24.118824,21.419392352107774,2.699431653019179
300485,Malcom,Forward,24.092184,22.201895347701054,1.8902887190714068
244335,K. Dolly,Forward,24.061853,21.622318140566723,2.439535268246754
277002,F. Diabat\u00e9,Forward,23.990181,21.418079869239573,2.572101099998708
131959,J. Seri,Midfielder,22.512075,19.936972788750605,2.5751026354437307
230897,Fede Cartabia,Midfielder,22.303513,20.20261650681917,2.1008960664230187
209209,F. Tait,Midfielder,22.276628,19.898798948391445,2.3778295458712506
14727,A. Robben,Midfielder,22.271322,20.69578978946885,1.5755324608973602
224896,G. Holtmann,Midfielder,22.262672,20.058043880373635,2.2046285439427713
16027,F. Bartels,Midfielder,22.243305,20.344524162286046,1.8987810440127824
25714,D. Payet,Midfielder,22.129412,20.371593925550947,1.7578177718367485
25440,J. Pastore,Midfielder,21.974852,19.891976675510097,2.08287493276627
105333,Willian,Midfielder,21.8073,19.867402041059623,1.9398985265673296
25865,B. Sako,Midfielder,21.749435,19.96815330490572,1.7812821198989681
149076,V. Eysseric,Midfielder,21.741547,19.384320290676605,2.3572263401827698
40806,Felipe Anderson,Midfielder,21.73663,21.076996656053687,0.6596328300302972
26512,M. Dossevi,Midfielder,21.669008,20.505990259274324,1.1630179957305593
14866,Jurado,Midfielder,21.664684,19.602558514352847,2.06212578130145
82518,V. Darida,Midfielder,21.656559,19.35826817414037,2.2982908163381452
