player_id,shortName,role_clean,xgb_forecast_next5,avg_actual_score,forecast_delta
5400,Gerard Moreno,Forward,25.829494,21.19908500374282,4.63040947257554
8326,M. Balotelli,Forward,24.910585,21.211818894828454,3.6987665086139287
254189,Ivi,Forward,24.190784,20.589355761453692,3.6014286928920107
21861,D. Falcinelli,Forward,23.208876,19.942884941569062,3.2659907145588676
28123,C. N'Jie,Forward,23.581623,20.35096992389638,3.230653153496199
271990,L. H\u00f6ler,Forward,23.777723,20.58666887524677,3.191054437131161
293687,D. Calvert-Lewin,Forward,23.462477,20.2753744266783,3.1871023036683788
279780,J. Augustin,Forward,23.43129,20.617174844061662,2.8141148287899007
20450,Bojan,Forward,23.761707,21.007875980414173,2.75383132549403
165431,K. Karaman,Forward,23.559038,20.82263987404279,2.7363982881886564
86307,L. Vietto,Forward,24.118824,21.419392352107774,2.699431653019179
339791,\u00c1lex Berenguer,Forward,23.603083,20.910602459676078,2.692480197184274
3657,T. Hemed,Forward,22.74654,20.09265995072333,2.6538801188567476
14705,N. F\u00fcllkrug,Forward,23.312344,20.69563710570258,2.616706491709529
131959,J. Seri,Midfielder,22.512075,19.936972788750605,2.5751026354437307
