player_id,shortName,role_clean,mean_perf,std_perf,mean_pred,std_pred,mean_error,rmse_error,n_matches,trend_slope,xG_per90,goals_per90,xA_per90,shots_on_target_per90,progressive_passes_per90,dribbles_completed_per90,successful_passes_per90,crosses_per90,tackles_per90,interceptions_per90,clearances_per90,cluster,pc1,pc2,cluster_label
36,T. Alderweireld,defender,10.116543458078935,2.8798690673451044,14.127917228705698,0.5324545386940379,-4.011373770626764,4.783233325872655,24,0.0019562461201784206,-0.19606331655346074,-0.15898063292166545,-0.18011683760213046,-0.23985725111457548,-0.03236998656617162,-0.20114253575043786,0.9872738387705834,-0.42800530472667964,-0.3855262215843711,-0.09078816480095055,0.4202654237478644,3,-0.813613368222647,-1.9168458624212503,Underperforming Decliners
48,J. Vertonghen,defender,16.388841239107986,5.64029188108982,14.409107661744992,0.5671485240107208,1.9797335773629945,5.594074116867873,45,0.008809782322538038,-0.3526149120469386,-0.1980839631776417,-0.17511045489616467,-0.343782506770742,0.02736305562839982,-0.14245112343617303,1.0632662872969025,-0.2940187154428127,0.06616354287385696,-0.1571835965701922,0.4801282508259198,0,2.126209358782505,0.9463901128099056,Overperforming Improvers
74,R. Klavan,defender,11.757240075595803,2.158294492544147,13.776174742355286,0.449377034789594,-2.0189346667594825,2.7732484773660566,18,0.011282790665933656,-0.42267621135297184,-0.1384420697901641,-0.22102472756218175,-0.5748766699907597,-0.29531088969748454,-0.6210101108908929,1.1569597391969133,-0.6240292755221091,-0.4515476746358405,0.17727240039841358,1.003305848909842,1,-2.3479798255945727,0.7899959853146569,Steady Performers
77,N. Moisander,defender,15.560332391885325,3.019436560777118,14.232353139269208,0.5854044201934525,1.3279792526161185,3.13368917189953,24,-0.007449170114677899,-0.25695418186336,-0.09158691276187529,-0.32051941758654456,-0.3323312205940508,-0.1664894555655665,0.01244038066536518,0.8894175976898322,-0.47492372868141536,-0.16099878205389426,0.09100664367487331,0.7018831535782047,1,0.355012215765444,0.7055918203638959,Steady Performers
102,Marcelo,defender,15.508991999685941,2.550511847477588,13.891051858276725,0.3834145591373231,1.6179401414092192,2.9041305192531137,34,0.002190938826415925,-0.09633021034564564,-0.06830511569083632,-0.11092911489530033,-0.3195407518899634,0.17944449579198668,-0.4858930682916372,1.1089329384246136,-0.6004464687119127,-0.3451508900630227,-0.006743669687605978,1.2645977874898586,1,-0.15789069592276544,0.6653715453679621,Steady Performers
107,E. Pieters,defender,15.505511242875379,3.206891092643102,14.309546788213016,0.4063491369525309,1.1959644546623645,3.196539015515882,30,0.006221678860030737,-0.4931388240237683,-0.2370370196720183,0.04504659782175424,-0.5976501398458625,0.18822769486637536,-0.5253317754051147,-0.38924009801821047,0.3158419284669405,-0.1897176233631347,0.7098741638963468,0.4186205846928936,2,0.6165755767982952,1.5298837336250548,Steady Performers
110,J. Willems,defender,15.909840552958547,3.2953711972402076,14.878860741904555,0.6256553508518885,1.03097981105399,3.262182730749561,22,-0.01455595416163947,-0.09375857049936505,-0.2340178735312046,0.06939383040430115,-0.05282994581391884,0.5913329739380274,0.27598842569633314,-0.4215312261609986,0.4706781756354236,-0.015974239913671754,0.07453791671913113,-0.04441381842340386,0,3.229770375283177,-0.9977677121496991,Overperforming Improvers
130,S. de Vrij,defender,15.288158871426432,3.4166335811777033,14.062390645770146,0.417798738139315,1.2257682256562887,3.369694725268381,34,-0.003512828447069013,-0.25053191216513815,0.18989622939043713,-0.2780275202077906,-0.3926829238633303,-0.21575067430025796,-0.19946795302253326,0.45228459522199116,-0.6554500182889295,-0.30587346432288065,0.05095944581607873,0.5040170925557339,1,0.19090900585038634,0.3589418822746551,Steady Performers
132,T. Kongolo,defender,11.713935681171398,3.577876853575652,14.249352951973425,0.4978310903436072,-2.535417270802027,4.23846019792873,15,0.029808177036602167,-0.44103241417230366,-0.2321247921670684,-0.2600810173367466,-0.5544297308452021,-0.0254828114460908,-0.6385994937730722,-0.3468794250780179,-0.039596107684431635,0.24314381118214815,0.2703951941952047,0.8124175897725067,2,-0.7919708777649221,0.11841300765479537,Steady Performers
134,B. Martins Indi,defender,10.431670634611605,2.5590421783846136,13.678805689047659,0.3510313856582674,-3.2471350544360553,3.9414204471649237,16,0.004643173578654193,-0.3761559199051985,-0.2370370196720183,-0.3162501245354358,-0.5342000888615066,-0.31665761029319933,-0.9085359463082184,-0.49932172513692197,-0.5535556468071775,-0.29811999229341196,-0.12624692726474898,0.5934383890687491,3,-2.801493603558914,-0.1343532031135306,Underperforming Decliners
159,J. Gouweleeuw,defender,13.747837940121103,2.862006764459189,13.900777106708338,0.3641414405847739,-0.15293916658723503,2.5800756195270145,26,0.003842926313682332,-0.2220501234318612,-0.2340178735312046,-0.16536985012894706,-0.3375921072760147,-0.34913462748880963,-0.611026583938642,0.05101316444613821,-0.4111224268078696,-0.27230287437579126,0.07006886613991845,0.4997668296682753,1,-0.7106457704374005,0.6080188195926189,Steady Performers
160,D. Janmaat,defender,14.693539674823098,2.7728899406916563,14.413489696564302,0.6149102598023336,0.2800499782587959,2.339487950508252,22,-0.0070940164954892485,-0.1696060758608415,0.1663740331970072,-0.223399445082159,-0.03849166202786394,0.4970805765493699,-0.39728613839409815,-0.1427256155288165,0.6093674892302082,-0.3610030282622449,0.22650836079925665,0.4671610748565621,1,1.1701836185818941,-0.9704253848218054,Steady Performers
