player_id,shortName,role_clean,xgb_forecast_next5
20929,A. Gamberini,Defender,13.73166
50805,F. Helander,Defender,13.909319
3340,Muniesa,Defender,13.493947
225022,Rub\u00e9n Duarte,Defender,14.133339
350976,B. Chilwell,Defender,16.075708
4003,Miguel Torres,Defender,14.150933
278049,E. Cabaco,Defender,13.535895
364772,C. Awaziem,Defender,13.530089
18974,J. Brooks,Defender,14.270694
149091,M. Tisserand,Defender,13.926826
6513,Ra\u00fal Garc\u00eda,Defender,14.546842
26374,C. Varrault,Defender,14.0198345
4094,Ander Capa,Defender,14.7748575
74,R. Klavan,Defender,14.411242
257899,J. Gomez,Defender,14.681074
7914,J. Evans,Defender,14.079944
275121,J. Torunarigha,Defender,13.868631
344864,C. S\u00f6y\u00fcnc\u00fc,Defender,14.001864
296341,Bernardo,Defender,14.44485
15069,W. Orban,Defender,13.861568
15139,T. Chandler,Defender,13.974277
3281,Juan Bernat,Defender,16.464027
3351,Kiko Femen\u00eda,Defender,15.05691
326535,Toni Lato,Defender,14.084137
3276,A. Rami,Defender,14.450593
25710,A. Soumaoro,Defender,14.332843
44510,Vitor Hugo,Defender,13.640131
258253,B. Henrichs,Defender,14.757582
228768,J. Tah,Defender,14.086327
25526,J. Martins-Pereira,Defender,15.710764
29474,R. Thomas,Defender,13.695052
4786,Iv\u00e1n Balliu,Defender,14.384954
282438,Aar\u00f3n,Defender,13.440728
40538,Leandro Cast\u00e1n,Defender,13.607572
7957,G. Johnson,Defender,14.057364
134,B. Martins Indi,Defender,13.444102
131184,Ali Adnan,Defender,14.873913
269188,P. Jaroszy\u0144ski,Defender,14.10496
49857,A. Ajeti,Defender,13.393185
25993,Hilton,Defender,13.943521
22270,G. Ferrari,Defender,14.124769
341973,N. Mukiele,Defender,15.545651
393228,M. Sarr,Defender,13.417038
356928,T. Handwerker,Defender,15.675697
4355,David Garc\u00eda,Defender,14.233617
3334,Dani Alves,Defender,14.158332
38532,E. Zukanovi\u0107,Defender,13.350399
20776,L. Rossettini,Defender,13.52717
3750,Balenziaga,Defender,14.943225
14988,O. Sorg,Defender,14.102241
15952,E. Bi\u010dak\u010di\u0107,Defender,13.29405
82487,P. Kade\u0159\u00e1bek,Defender,14.628403
16884,J. Korb,Defender,13.850479
410055,Rober,Defender,13.240726
3920,Pedro L\u00f3pez,Defender,13.511365
4908,Alberto Moreno,Defender,15.255871
15122,D. Maroh,Defender,13.8981
49856,D. Abraham,Defender,13.632369
337682,F. Uduokhai,Defender,13.711879
275384,Jorge Mer\u00e9,Defender,14.0434885
221411,P. Max,Defender,14.726769
15806,J. Vestergaard,Defender,14.090697
15775,P. Verhaegh,Defender,14.214589
8221,J. Ward,Defender,14.490729
9279,S. Francis,Defender,14.154142
20855,E. Schelotto,Defender,15.923747
8501,J. Schlupp,Defender,14.944435
278288,Aritz Elustondo,Defender,13.878038
92966,K. Manolas,Defender,13.5165825
44251,Bruno Peres,Defender,14.683328
215869,M. Bani,Defender,13.541236
21607,F. Cacciatore,Defender,15.412395
20518,Juan Jesus,Defender,13.309756
8336,K. Naughton,Defender,14.990432
14885,D. Aogo,Defender,13.667982
344132,T. Hern\u00e1ndez,Defender,15.475457
344178,P. Retsos,Defender,14.08699
20677,A. Raggi,Defender,14.44484
25937,F. Bellugou,Defender,13.804169
25392,B. Kon\u00e9,Defender,14.573758
25919,J. Palmieri,Defender,15.100349
14990,F. Diagne,Defender,13.552346
30320,O. El Hajjam,Defender,14.720061
3916,G. Cabral,Defender,13.899445
7982,D. Santon,Defender,13.442046
4232,Pedro Alcal\u00e1,Defender,13.419605
3856,Molinero,Defender,13.871744
3974,D. Su\u00e1rez,Defender,14.257013
21280,M. Sampirisi,Defender,13.393185
192,J. Vukovi\u0107,Defender,13.419679
388398,G. Pezzella,Defender,14.684022
14904,J. Sala,Defender,14.565104
257028,D. Calabria,Defender,13.87956
3531,C. Zapata,Defender,14.5542555
284960,L. Venuti,Defender,14.442229
20811,M. Silvestre,Defender,13.622785
7915,P. Evra,Defender,14.734377
235450,A. Diallo,Defender,14.485334
4358,Laguardia,Defender,14.328489
3560,Nacho Monreal,Defender,14.374256
171283,C. Chambers,Defender,13.329654
